1301.JP,KYOKUYO
9468.JP,KADOKAWA DWANGO
9470.JP,GAKKEN HOLDINGS
9474.JP,ZENRIN
9475.JP,SHOBUNSHA PUBLICATIONS
9476.JP,CHUOKEIZAI SHA
9478.JP,SE HOLDINGS AND INCUBATIONS
9479.JP,IMPRESS HOLDINGS
9501.JP,TOKYO ELECTRIC POWER COMPANY
9502.JP,CHUBU ELECTRIC POWER COMPANY
9503.JP,THE KANSAI ELECTRIC POWER COMPANY
9504.JP,THE CHUGOKU ELECTRIC POWER COMPANY
9505.JP,HOKURIKU ELECTRIC POWER COMPANY
9506.JP,TOHOKU ELECTRIC POWER COMPANY
9507.JP,SHIKOKU ELECTRIC POWER COMPANY
9508.JP,KYUSHU ELECTRIC POWER COMPANY
9509.JP,HOKKAIDO ELECTRIC POWER COMPANY
9511.JP,THE OKINAWA ELECTRIC POWER COMPANY
9513.JP,ELECTRIC POWER DEVELOPMENT
9514.JP,THE FIRST ENERGY SERVICE COMPANY
9517.JP,EREX
9531.JP,TOKYO GAS
9532.JP,OSAKA GAS
9533.JP,TOHO GAS
9534.JP,HOKKAIDO GAS
9535.JP,HIROSHIMA GAS
9536.JP,SAIBU GAS
9537.JP,HOKURIKU GAS
9539.JP,KEIYO GAS
9543.JP,SHIZUOKA GAS
9551.JP,METAWATER
9600.JP,I NET
9601.JP,SHOCHIKU
9602.JP,TOHO
9603.JP,H I S
9605.JP,TOEI COMPANY
9607.JP,AOI PRO
9608.JP,FUKUYAMA CONSULTANTS
9610.JP,WILSON LEARNING WORLDWIDE
9612.JP,LUCKLAND
9613.JP,NTT DATA
9616.JP,KYORITSU MAINTENANCE
9619.JP,ICHINEN HOLDINGS
9621.JP,CTI ENGINEERING
9622.JP,SPACE
9624.JP,CHODAI
9625.JP,CERESPO
9627.JP,AIN HOLDINGS
9628.JP,SAN HOLDINGS
9629.JP,PCA
9631.JP,TOKYU RECREATION
9632.JP,SUBARU ENTERPRISE
9633.JP,TOKYO THEATRES COMPANY
9635.JP,MUSASHINO KOGYO
9636.JP,KIN EI
9637.JP,O S
9638.JP,T D I
9639.JP,SANKYO FRONTIER
9640.JP,SAISON INFORMATION SYSTEMS
9641.JP,SACOS
9644.JP,TANABE MANAGEMENT CONSULTING
9647.JP,KYOWA ENGINEERING CONSULTANTS
9651.JP,JAPAN PROCESS DEVELOPMENT
9656.JP,GREENLAND RESORT COMPANY
9658.JP,BUSINESS BRAIN SHOWAOTA
9661.JP,KABUKI ZA
9663.JP,NAGAWA
9671.JP,YOMIURI LAND
9672.JP,TOKYOTOKEIBA
9674.JP,KAGETSUENKANKO
9675.JP,JOBAN KOSAN
9678.JP,KANAMOTO
9679.JP,HORAI
9680.JP,KYOSEI RENTEMU
9681.JP,TOKYO DOME
9682.JP,DTS
9684.JP,SQUARE ENIX HOLDINGS
9685.JP,KYCOM HOLDINGS
9686.JP,TOYO TEC
9687.JP,KSK
9691.JP,RYOMO SYSTEMS
9692.JP,COMPUTER ENGINEERING CONSULTING
9695.JP,THE KAMOGAWA GRAND HOTEL
9696.JP,WITH US
9697.JP,CAPCOM
9698.JP,CREO
9699.JP,NISHIO RENT ALL
9701.JP,TOKYO KAIKAN
9702.JP,ISB
9704.JP,AGORA HOSPITALITY GROUP
9706.JP,JAPAN AIRPORT TERMINAL
9707.JP,UNIMAT RETIREMENT COMMUNITY
9708.JP,IMPERIAL HOTEL
9709.JP,NCS A
9713.JP,THE ROYAL HOTEL
9715.JP,TRANSCOSMOS
9716.JP,NOMURA
9717.JP,JASTEC
9719.JP,SCSK
9720.JP,HOTEL NEWGRAND
9722.JP,FUJITA KANKO
9723.JP,THE KYOTO HOTEL
9726.JP,KNT CT HOLDINGS
9728.JP,NIPPON KANZAI
9729.JP,TOKAI
9731.JP,HAKUYOSHA COMPANY
9733.JP,NAGASE BROTHERS
9734.JP,KABUSHIKI KAISHA SEIYOKEN
9735.JP,SECOM
9736.JP,HAKUSEISHA
9739.JP,NIPPON SYSTEMWARE
9740.JP,CENTRAL SECURITY PATROLS
9742.JP,INES
9743.JP,TANSEISHA
9744.JP,MEITEC
9746.JP,TKC
9747.JP,ASATSU DK
9748.JP,NJK
9749.JP,FUJI SOFT
9753.JP,IX KNOWLEDGE
9755.JP,OYO
9757.JP,FUNAI SOKEN HOLDINGS
9758.JP,JAPAN SYSTEMS
9759.JP,NSD
9760.JP,SHINGAKUKAI
9761.JP,TOKAI LEASE
9763.JP,MARUBENI CONSTRUCTION MATERIAL LEASE
9764.JP,GIKEN KOGYO
9765.JP,OHBA
9766.JP,KONAMI HOLDINGS
9767.JP,NIKKEN KOGAKU
9768.JP,IDEA CONSULTANTS
9769.JP,GAKKYUSHA
9776.JP,SAPPORO CLINICAL LABORATORY
9778.JP,SUBARU
9780.JP,HARIMA B STEM
9782.JP,DMS
9783.JP,BENESSE HOLDINGS
9787.JP,AEON DELIGHT
9788.JP,NAC
9790.JP,FUKUI COMPUTER HOLDINGS
9791.JP,BIKEN TECHNO
9792.JP,NICHII GAKKAN COMPANY
9793.JP,DAISEKI
9795.JP,STEP
9797.JP,NIPPON ENGINEERING CONSULTANTS
9799.JP,ASAHI INTELLIGENCE SERVICE
9810.JP,NIPPON STEEL SUMIKIN BUSSAN
9812.JP,T O OGASAWARA
9816.JP,STRIDERS
9818.JP,DAIMARU ENAWIN
9820.JP,MT GENEX
9823.JP,MAMMY MART
9824.JP,SENSHU ELECTRIC
9826.JP,JEUGIA
9827.JP,LILYCOLOR
9828.JP,GENKI SUSHI
9829.JP,NAGANO TOKYU DEPARTMENT STORE
9830.JP,TRUSCO NAKAYAMA
9831.JP,YAMADA DENKI
9832.JP,AUTOBACS SEVEN
9835.JP,JUNTENDO
9836.JP,LEVI STRAUSS JAPAN KABUSHIKI KAISHA
9837.JP,MORITO
9842.JP,ARCLAND SAKAMOTO
9843.JP,NITORI HOLDINGS
9845.JP,PARKER
9846.JP,TENMAYA STORE
9849.JP,KYODO PAPER HOLDINGS
9850.JP,GOURMET KINEYA
9852.JP,CHUO BUSSAN
9853.JP,GINZA RENOIR
9854.JP,AIGAN
9855.JP,KUROGANEYA
9856.JP,KU HOLDINGS
9857.JP,EIWA
9861.JP,YOSHINOYA HOLDINGS
9867.JP,SOLEKIA
9869.JP,KATO SANGYO
9870.JP,HANATEN
9872.JP,KITAKEI
9873.JP,KFC HOLDINGS JAPAN
9876.JP,COX
9878.JP,SEKIDO
9880.JP,INNOTECH
9882.JP,YELLOW HAT
9885.JP,CHARLE
9887.JP,MATSUYA FOODS
9888.JP,UEX
9889.JP,JBCC HOLDINGS
9890.JP,MAKIYA
9892.JP,HIMIKO
9895.JP,CONSEC
9896.JP,JK HOLDINGS
9898.JP,SAKHA DIAMOND
9899.JP,JOLLY PASTA
9900.JP,SAGAMI CHAIN
9902.JP,NICHIDEN
9903.JP,KANSEKI
9904.JP,VERITE
9906.JP,FUJII SANGYO
9908.JP,NIHON DENKEI
9909.JP,AIKO
9913.JP,NIPPO
9914.JP,UEMATSU SHOKAI
9919.JP,KANSAI SUPER MARKET
9927.JP,WATT MANN
9928.JP,MIROKU JYOHO SERVICE
9929.JP,HEIWA PAPER
9930.JP,KITAZAWA SANGYO
9932.JP,SUGIMOTO
9934.JP,INABA DENKISANGYO
9936.JP,OHSHO FOOD SERVICE
9941.JP,TAIYO BUSSAN KAISHA
9943.JP,COCO S JAPAN
9945.JP,PLENUS
9946.JP,MINISTOP
9948.JP,ARCS COMPANY
9950.JP,HACHI BAN
9955.JP,THE YONKYU
9956.JP,VALOR HOLDINGS
9957.JP,VITEC HOLDINGS
9959.JP,ASEED HOLDINGS
9960.JP,TOTECH
9962.JP,MISUMI GROUP
9964.JP,ITEC
9966.JP,FUJIKYU
9967.JP,SAKAI TRADING
9969.JP,SHOKUBUN
9972.JP,ALTECH
9973.JP,KOZOSUSHI
9974.JP,BELC
9976.JP,SEKICHU
9977.JP,AOKI SUPER
9978.JP,BUNKYODO GROUP HOLDINGS
9979.JP,DAISYO
9980.JP,MARUKO
9982.JP,TAKIHYO
9983.JP,FAST RETAILING
9984.JP,SOFTBANK GROUP
9986.JP,ZAOH COMPANY
9987.JP,SUZUKEN
9989.JP,SUNDRUG
9990.JP,SAC S BAR HOLDINGS
9991.JP,GECOSS
9992.JP,RIKENGREEN
9993.JP,YAMAZAWA
9994.JP,YAMAYA
9995.JP,RENESAS EASTON
9996.JP,SATOH CO
9997.JP,BELLUNA
